constructor_name,avg_points,total_wins,podium_rate
Mercedes,11.85680981595092,129,0.4570552147239264
Red Bull,9.73730964467005,122,0.35786802030456855
Brawn,5.0588235294117645,8,0.4411764705882353
Lotus F1,4.584415584415584,2,0.16233766233766234
Ferrari,4.547466174661746,249,0.34481344813448134
Racing Point,3.723684210526316,1,0.05263157894736842
McLaren,3.651846073842954,185,0.2641705668226729
Matra-Ford,3.25,9,0.375
Alpine F1 Team,2.7666666666666666,1,0.03333333333333333
Force India,2.589622641509434,0,0.014150943396226415
Epperly,2.588235294117647,2,0.29411764705882354
Aston Martin,2.575916230366492,0,0.04712041884816754
Brabham-Repco,2.272727272727273,8,0.3246753246753247
Renault,2.2579415501905973,35,0.13087674714104194
BMW Sauber,2.2,1,0.12142857142857143
Williams,2.1724343675417663,114,0.1873508353221957
AlphaTauri,1.8433734939759037,1,0.012048192771084338
Benetton,1.6567307692307693,27,0.19615384615384615
McLaren-Ford,1.6436781609195403,4,0.1839080459770115
Watson,1.6363636363636365,3,0.22727272727272727
Lotus-Ford,1.6328125,11,0.1953125
Vanwall,1.5211267605633803,10,0.19718309859154928
Sherman,1.5,0,0.0
Cooper-Climax,1.2555970149253732,12,0.16417910447761194
Deidt,1.25,0,0.25
Lotus-Climax,1.206008583690987,22,0.13304721030042918
Brabham-Ford,1.1724137931034482,2,0.15517241379310345
Team Lotus,1.142365097588978,45,0.13088404133180254
Honda,1.0263157894736843,3,0.05921052631578947
Phillips,1.0,0,0.14285714285714285
Wolf,1.0,3,0.16455696202531644
Toyota,0.9946428571428572,0,0.04642857142857143
BAR,0.961864406779661,0,0.0635593220338983
BRM,0.9564056939501779,17,0.10854092526690391
Brabham,0.9531722054380665,23,0.11782477341389729
Cooper-BRM,0.9523809523809523,0,0.09523809523809523
Toro Rosso,0.9328358208955224,1,0.005597014925373134
March-Ford,0.8604651162790697,0,0.11627906976744186
Brabham-Climax,0.8387096774193549,2,0.11827956989247312
RB F1 Team,0.8333333333333334,0,0.0
Lancia,0.8181818181818182,0,0.09090909090909091
Tyrrell,0.8070374574347332,23,0.08740068104426787
Alfa Romeo,0.8004434589800443,11,0.06208425720620843
Haas F1 Team,0.7710526315789473,0,0.0
Matra,0.7605633802816901,0,0.08450704225352113
Frazer Nash,0.75,0,0.0
Maserati,0.7182110091743119,9,0.09174311926605505
Sauber,0.6702508960573477,0,0.011947431302270013
Lesovsky,0.6666666666666666,0,0.06666666666666667
Ligier,0.6350245499181669,9,0.08183306055646482
Cooper-Maserati,0.6194029850746269,2,0.05223880597014925
Eagle-Weslake,0.6190476190476191,1,0.09523809523809523
Porsche,0.5952380952380952,1,0.05952380952380952
Jordan,0.582,4,0.038
BRP,0.5789473684210527,0,0.0
Kurtis Kraft,0.5752212389380531,5,0.084070796460177
Kuzma,0.5384615384615384,1,0.07692307692307693
Cooper,0.5048543689320388,2,0.05825242718446602
Penske,0.5,1,0.06521739130434782
McLaren-Serenissima,0.5,0,0.0
Cooper-Castellotti,0.5,0,0.0
Hesketh,0.4948453608247423,1,0.07216494845360824
Stewart,0.47959183673469385,1,0.05102040816326531
McLaren-BRM,0.42857142857142855,0,0.0
Parnelli,0.375,0,0.0
Shadow-Ford,0.36538461538461536,0,0.038461538461538464
Brabham-BRM,0.3170731707317073,0,0.024390243902439025
Connaught,0.3148148148148148,0,0.018518518518518517
Eagle-Climax,0.3076923076923077,0,0.0
Brabham-Alfa Romeo,0.3050847457627119,0,0.0
Talbot-Lago,0.3048780487804878,0,0.024390243902439025
Jaguar,0.28823529411764703,0,0.011764705882352941
Fittipaldi,0.2838709677419355,0,0.01935483870967742
March,0.2824427480916031,3,0.030534351145038167
Shadow,0.2796208530805687,1,0.02843601895734597
Schroeder,0.25,0,0.0
Gordini,0.24509803921568626,0,0.0196078431372549
Arrows,0.24067796610169492,0,0.013559322033898305
Lotus-BRM,0.2396694214876033,1,0.01652892561983471
Prost,0.21212121212121213,0,0.01818181818181818
Surtees,0.2076923076923077,0,0.007692307692307693
Toleman,0.1984732824427481,0,0.022900763358778626
Simca,0.1724137931034483,0,0.0
Trevis,0.16666666666666666,0,0.0
Lola,0.16363636363636364,0,0.012121212121212121
Embassy Hill,0.15789473684210525,0,0.0
Footwork,0.12886597938144329,0,0.005154639175257732
Rial,0.125,0,0.0
Leyton House,0.125,0,0.015625
Ensign,0.12337662337662338,0,0.0
Onyx,0.11538461538461539,0,0.019230769230769232
Iso Marlboro,0.10909090909090909,0,0.0
Dallara,0.10416666666666667,0,0.013888888888888888
Larrousse,0.10185185185185185,0,0.004629629629629629
Tecno,0.09090909090909091,0,0.0
Minardi,0.05654761904761905,0,0.0
Super Aguri,0.05128205128205128,0,0.0
ATS,0.043209876543209874,0,0.0
HWM,0.0425531914893617,0,0.0
Theodore,0.03125,0,0.0
Spyker,0.029411764705882353,0,0.0
Osella,0.01984126984126984,0,0.0
